,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WSeed,LSeed,WRegion,LRegion,TScore,TTO,TFGA,TFGA3,TPF
9,1985,136,1323,79,1333,70,N,0.0,7,10,Z,Z,149,24.0,107.0,23.0,32.0
16,1985,137,1104,50,1112,41,N,0.0,7,10,X,X,91,19.0,129.0,40.0,36.0
27,1985,137,1393,70,1177,65,N,0.0,7,10,W,W,135,35.0,112.0,42.0,31.0
28,1985,137,1412,70,1277,68,N,0.0,7,10,Y,Y,138,29.0,113.0,32.0,31.0
63,1986,136,1133,83,1431,65,N,0.0,7,10,Z,Z,148,35.0,134.0,38.0,38.0
84,1986,137,1235,81,1275,79,N,1.0,7,10,X,X,160,18.0,109.0,44.0,30.0
88,1986,137,1298,87,1409,68,N,0.0,7,10,W,W,155,34.0,107.0,49.0,31.0
133,1987,136,1309,83,1140,79,N,0.0,7,10,X,X,162,25.0,111.0,37.0,32.0
156,1987,137,1431,98,1112,91,N,1.0,7,10,Z,Z,189,34.0,82.0,17.0,35.0
203,1988,136,1374,83,1323,75,N,0.0,7,10,W,W,158,28.0,109.0,45.0,30.0
212,1988,137,1268,92,1364,82,N,0.0,7,10,Y,Y,174,28.0,98.0,31.0,23.0
219,1988,137,1435,80,1429,77,N,0.0,7,10,X,X,157,30.0,101.0,41.0,38.0
267,1989,136,1452,84,1397,68,N,0.0,7,10,W,W,152,18.0,109.0,33.0,32.0
282,1989,137,1417,84,1235,74,N,0.0,7,10,Z,Z,158,32.0,113.0,41.0,36.0
283,1989,137,1431,85,1261,74,N,0.0,7,10,X,X,159,20.0,121.0,41.0,43.0
331,1990,137,1104,71,1161,54,N,0.0,7,10,Z,Z,125,23.0,123.0,34.0,18.0
344,1990,137,1417,68,1412,56,N,0.0,7,10,W,W,124,22.0,115.0,55.0,41.0
345,1990,137,1438,75,1323,67,N,0.0,7,10,Y,Y,142,24.0,136.0,38.0,34.0
383,1991,136,1199,75,1425,72,N,0.0,7,10,X,X,147,30.0,117.0,34.0,35.0
385,1991,136,1234,76,1190,73,N,0.0,7,10,Y,Y,149,29.0,137.0,49.0,38.0
447,1992,136,1210,65,1222,60,N,0.0,7,10,Y,Y,125,28.0,116.0,35.0,50.0
450,1992,136,1261,94,1140,83,N,0.0,7,10,X,X,177,24.0,107.0,49.0,37.0
505,1993,136,1140,80,1374,71,N,0.0,7,10,X,X,151,33.0,103.0,30.0,35.0
516,1993,136,1396,75,1281,61,N,0.0,7,10,Z,Z,136,30.0,99.0,41.0,38.0
519,1993,136,1443,55,1272,52,N,0.0,7,10,Y,Y,107,11.0,117.0,45.0,23.0
528,1993,137,1308,93,1304,79,N,0.0,7,10,W,W,172,19.0,103.0,37.0,26.0
592,1994,137,1277,84,1371,73,N,0.0,7,10,X,X,157,30.0,99.0,31.0,30.0
598,1994,137,1438,57,1307,54,N,0.0,7,10,Z,Z,111,18.0,95.0,28.0,31.0
632,1995,136,1153,77,1396,71,N,0.0,7,10,X,X,148,25.0,104.0,44.0,26.0
648,1995,137,1235,64,1196,61,N,0.0,7,10,Z,Z,125,22.0,115.0,39.0,28.0
657,1995,137,1393,96,1356,92,N,0.0,7,10,Y,Y,188,20.0,104.0,32.0,37.0
717,1996,137,1307,69,1243,48,N,0.0,7,10,W,W,117,23.0,120.0,45.0,43.0
720,1996,137,1396,61,1328,43,N,0.0,7,10,Y,Y,104,23.0,101.0,29.0,35.0
771,1997,136,1462,80,1435,68,N,0.0,7,10,Y,Y,148,20.0,106.0,31.0,26.0
772,1997,137,1150,79,1207,67,N,0.0,7,10,Z,Z,146,16.0,104.0,32.0,32.0
826,1998,136,1231,94,1328,87,N,1.0,7,10,W,W,181,17.0,94.0,30.0,36.0
946,2000,136,1120,72,1166,69,N,0.0,7,10,Y,Y,141,27.0,122.0,52.0,33.0
976,2000,137,1409,89,1424,62,N,0.0,7,10,X,X,151,25.0,123.0,34.0,37.0
1015,2001,136,1234,69,1166,56,N,0.0,7,10,W,W,125,,,,
1038,2001,137,1336,69,1344,59,N,0.0,7,10,Z,Z,128,,,,
1087,2002,136,1448,83,1337,74,N,0.0,7,10,X,X,157,,,,
1097,2002,137,1301,69,1277,58,N,0.0,7,10,W,W,127,,,,
1104,2002,137,1462,70,1218,58,N,0.0,7,10,Z,Z,128,,,,
1156,2003,137,1231,67,1104,62,N,0.0,7,10,Y,Y,129,,,,
1160,2003,137,1277,79,1160,64,N,0.0,7,10,X,X,143,,,,
1203,2004,136,1177,76,1173,69,N,2.0,7,10,X,X,145,,,,
1223,2004,137,1272,59,1376,43,N,0.0,7,10,Y,Y,102,,,,
1232,2004,137,1462,80,1257,70,N,0.0,7,10,W,W,150,,,,
1267,2005,136,1153,76,1234,64,N,0.0,7,10,Y,Y,140,,,,
1279,2005,136,1452,63,1166,61,N,0.0,7,10,W,W,124,,,,
1293,2005,137,1356,65,1388,56,N,0.0,7,10,X,X,121,,,,
1344,2006,136,1455,86,1371,66,N,0.0,7,10,Z,Z,152,,,,
1350,2006,137,1207,54,1320,49,N,0.0,7,10,Y,Y,103,,,,
1393,2007,136,1130,84,1403,75,N,0.0,7,10,W,W,159,,,,
1396,2007,136,1231,70,1211,57,N,0.0,7,10,Z,Z,127,,,,
1413,2007,137,1305,77,1166,71,N,1.0,7,10,X,X,148,,,,
1419,2007,137,1424,67,1210,63,N,0.0,7,10,Y,Y,130,,,,
1470,2008,136,1452,75,1112,65,N,0.0,7,10,Z,Z,140,,,,
1474,2008,137,1139,81,1375,61,N,0.0,7,10,W,W,142,,,,
1479,2008,137,1274,78,1388,64,N,0.0,7,10,Y,Y,142,,,,
1531,2009,136,1400,76,1278,62,N,0.0,7,10,W,W,138,,,,
1587,2010,136,1140,99,1196,92,N,2.0,7,10,Z,Z,191,,,,
1664,2011,136,1396,66,1336,64,N,0.0,7,10,X,X,130,,,,
1665,2011,136,1417,78,1277,76,N,0.0,7,10,Y,Y,154,,,,
1683,2011,137,1449,68,1208,65,N,0.0,7,10,W,W,133,,,,
1721,2012,136,1211,77,1452,54,N,0.0,7,10,W,W,131,,,,
1737,2012,137,1196,71,1438,45,N,0.0,7,10,Z,Z,116,,,,
1802,2013,137,1166,67,1153,63,N,0.0,7,10,Y,Y,130,,,,
1806,2013,137,1228,57,1160,49,N,0.0,7,10,W,W,106,,,,
1816,2013,137,1361,70,1328,55,N,0.0,7,10,X,X,125,,,,
1853,2014,136,1163,89,1386,81,N,1.0,7,10,W,W,170,,,,
1861,2014,136,1332,87,1140,68,N,0.0,7,10,Z,Z,155,,,,
1866,2014,136,1400,87,1113,85,N,0.0,7,10,Y,Y,172,,,,
1939,2015,137,1234,83,1172,52,N,0.0,7,10,X,X,135,,,,
1943,2015,137,1277,70,1208,63,N,0.0,7,10,W,W,133,,,,
1950,2015,137,1455,81,1231,76,N,0.0,7,10,Y,Y,157,,,,
2004,2016,137,1234,72,1396,70,N,1.0,7,10,Y,Y,142,,,,
2017,2016,137,1458,47,1338,43,N,0.0,7,10,W,W,90,,,,
2064,2017,136,1388,85,1433,77,N,0.0,7,10,X,X,162,,,,
2077,2017,137,1276,92,1329,91,N,0.0,7,10,Y,Y,183,,,,
2082,2017,137,1376,93,1266,73,N,0.0,7,10,W,W,166,,,,
2123,2018,136,1305,87,1400,83,,1.0,7,10,Y,Y,170,,,,
2131,2018,136,1401,73,1344,69,,,7,10,W,W,142,,,,
2147,2018,137,1348,83,1328,78,,1.0,7,10,X,X,161,,,,
